ID,Title,Keywords1,Keywords2,Abstract,Year
11,Commercial-off-the-shelf games in the digital wild and L2 learner vocabulary,Gaming; L2 Vocabulary; Digital Wild; Extramural English,FOREIGN-LANGUAGE; ENGLISH,"The purposes of this study are to examine the relation between playing commercial-off-the-shelf (COTS) games in the wild and L2 English vocabulary and to offer comparisons with non-gamers' vocabulary. Data were collected from two samples of teenage L2 English learners in Sweden, Sample A (N = 1,069) and Sample B (N = 16). Questionnaires and English grades were collected from A and B, productive and receptive vocabulary tests from A, and interviews and essays from B. A quantitative-dominant mixed-methods approach was adopted. Results showed a significant positive correlation between time played and test scores. They also showed that time played was related to types of games played. Multiple regression analysis including time played and types of games as predictor variables and L2 vocabulary as the outcome variable showed that the effect from type disappeared when it was entered into the model, whereas time remained significant. A close examination of 45 words (productive test) revealed significantly higher scores for gamers (compared with non-gamers) at all vocabulary frequency levels, and for particularly difficult words. Overall, findings from Sample B regarding gaming habits and vocabulary (i.e., use of advanced or infrequent words in essays) reflected the results from Sample A, making it possible to conclude that playing COTS games matters for L2 learner vocabulary.",2019
12,Gaming as extramural English L2 learning and L2 proficiency among young learners,digital games; extramural English; l2 proficiency; second language acquisition; motivation; incidental vocabulary acquisition,2ND-LANGUAGE; ACQUISITION; VOCABULARY; LANGUAGE; GAME; GENDER; INPUT,"Today, playing digital games is an important part of many young people's everyday lives. Claims have been made that certain games, in particular massively multiplayer online role-playing games (MMORPGs) provide L2 English learners with a linguistically rich and cognitively challenging virtual environment that may be conducive to L2 learning, as learners get ample opportunities for L2 input and scaffolded interaction in the L2. In this paper, we present empirical evidence that L2 English proficiency correlates with the frequency of gaming and types of games played. We base our observation on a study among young L2 English learners (N = 86, aged 11-12, Sweden). Data were collected through a questionnaire, a language diary, and three proficiency tests. The questionnaire provided demographic background information but was also targeted at measuring extramural English habits, i.e., learners' out-of-school contact with English (cf. Sundqvist, 2009). The diary measured how much time the learners spent on seven pre-determined extramural English activities during one week, while the tests measured their achieved L2 proficiency regarding reading and listening comprehension, and vocabulary. Previous research among learners aged 15-16 (Sundqvist, 2009) showed positive correlations between playing digital games and L2 proficiency, in particular with regard to vocabulary, and also identified gender-related differences regarding vocabulary (boys outperformed girls) as well as the frequency of gaming and types of games played. These results were corroborated in the present study. A clear pattern emerged from our data: frequent gamers (>= 5 hours/week) outperformed moderate gamers who, in turn, outperformed non-gamers. Background variables could not explain the between-group differences. Even though the boys might have been more proficient or apt than the girls a priori and, therefore, chose to engage more in L2 gaming, the findings suggest that playing digital games at an early age can be important for L2 acquisition.",2012
13,L2 motivational self system and willingness to communicate in the classroom and extramural digital contexts,Ideal L2 self; motivational self system; willingness to communicate in an extramural digital context; willingness to communicate in a second language; young EFL learners,EFL LEARNERS WILLINGNESS; OUT-OF-CLASS; AFFECTIVE VARIABLES; IN-CLASS; ENGLISH; 2ND-LANGUAGE; MODEL; BEHAVIOR; ANXIETY,"This study explores the relationship between the L2 Motivational Self System-namely, the ideal L2 self and the ought-to L2 self-and L2 Willingness to Communicate (L2 WTC) in the classroom (a typical place for English communication among EFL learners) and in the extramural digital setting (an emerging English communication channel increasingly used by young EFL learners). To this end, 417 Chinese EFL middle school students (ages 12 to 14) participated in the study. After controlling for demographic factors hierarchical multiple regression results showed that the ideal L2 self significantly predicted L2 WTC both in the classroom and in an extramural digital setting. Interview data (n = 4) also elaborated that students attempted to lessen the discrepancy between their current L2 self (e.g., EFL learners) and ideal L2 self-images (e.g., discussing the professional National Basketball Association in an American radio program) by becoming more willing to communicate in both communication environments. In addition to new research directions, these results offer pedagogical implications that the ideal L2 self can facilitate L2 communication orientation in in-class and out-of-class digital environments, both of which are typically venues for L2 communication among today's young EFL learners.",2023
14,L2 pragmatics and CALL,L2 Pragmatics; Interaction; CMC; Sociopragmatics; Pragmalinguistics,COMPUTER-MEDIATED COMMUNICATION; EMAIL; CONVERSATION; REQUESTS; CORPUS; SAY; INSTRUCTION; COMPETENCE; POLITENESS; DISCOURSE,"In order to develop pragmatic competence in a language other than our own (L2), it is important to have enough knowledge of the cultural norms of the target language and enough opportunities to interact with a wide range of speakers to deploy different speech acts, registers, levels of politeness, conversational moves, and the like. The limitations common in traditional face-to-face classrooms have brought researchers in the field of Computer-Assisted Language Learning (CALL) to recognize that technology can provide environments to expose language learners to a larger variety of sociopragmatic situations and contexts to test and develop their L2 pragmatic competence. This article presents a historical overview of the tools and digital spaces that have been explored for the teaching and the research of L2 pragmatics. Pedagogical practices that have evolved from presentational to more interactive are then briefly discussed. The article ends with a look into what the future may bring for the field of technology mediated L2 pragmatics.",2021
15,Digital Multimodal Composing in L2 Learning: Ideologies and Impact,Digital multimodal composing; ideologies; impact; investment,ENGLISH; IDENTITY; LITERACY; LEARNERS; VOICE,"While there has been a scholarly call for the incorporation of digital multimodal composing (DMC) in L2 pedagogy over the past decade, the ideologies of teachers and students about using DMC and the pertinent impact on students' investment in language learning remain underexplored. This paper is concerned with the experiences of a group of English teachers and students when they participated in a DMC program that engaged students with video production in a university-based English course in China. Relying on multiple sources of data, the study revealed that teachers and students had different, and sometimes even contrasting, ideologies over the nature of language, the role of teachers, and the legitimate evidence of learning during DMC. A framework is proposed to illustrate how the different and contrasting ideologies created unintended barriers to students' investment in English learning at both micro and macro levels.",2021
16,The assessment of memes as digital multimodal composition in L2 classrooms,Memes; Digital multimodal composition; Korean as a foreign language; Assessment,,"Digital multimodal writing has become predominant in our students' lives in and outside the L2 classrooms. While many L2 educators integrate various multimodal projects into their curriculum, internet memes and their assessment have not been explored in depth in L2 settings, although memes have potential to be valuable multimodal writing tasks. The purpose of this study is to better understand how memes can be incorporated and assessed in L2 classrooms. Twenty-seven student-created memes in a low-intermediate Korean as a Foreign Language course at a large university were collected and analyzed. The findings indicated that the student-created memes successfully addressed the multimodal aspect of the meme genre, universal and specific cultural references, and language aspects specific to the genre of memes. Our analyses of the memes suggest three key components to assess this multimodal writing project in addition to its overall task/functions: 1) multimodal aspects that include understanding the interplay between multiple modes for an effective message in a given context; 2) cultural aspects, demonstrating cultural knowledge and its application, recognizing the semiotic importance of multimodal expression in the target community; and 3) language aspects as an effective communication medium, demonstrating genre knowledge of the specific task and language accuracy.",2022
17,"Autonomy in the Digital Wilds: Agency, Competence, and Self-efficacy in the Development of L2 Digital Identities",,LANGUAGE; ONLINE; ENGLISH; TECHNOLOGIES; LITERACY; DYNAMICS; ECOLOGY; SYSTEMS,"The term digital wilds has come to refer to the non-formal online spaces in and through which additional language (L2) learner-users, using a multifarious array of tools, platforms, and services, autonomously navigate personal learning trajectories (Sauro & Zourou, 2019), developing L2 digital literacies-mediated identities needed in life-wide settings. This article examined how three successful, autonomous English L2 learner-users critically and creatively engaged in L2 digital literacy practices, ranging from navigating social media and the Internet to 'reprodusing' (Reinhardt & Thorne, 2019) content on video-sharing sites. This article focuses on (1) the development of digital learner autonomy in successful English L2 learners and (2) the entanglement of L2 digital literacy practices, identities, and livelihoods. The analysis shows that agency, competence, and self-efficacy played key roles in autonomy development, which was inextricably intertwined with emergent identities and realized through the practice of digital literacies. The findings shed light on the potential role of language educators in leveraging activity in the digital wilds for formal learning purposes.",2022
18,Profiling the affective characteristics of EFL learners' digital informal learning: A person-centered approach,Informal digital learning of English; L2 motivation; L2 enjoyment; L2 anxiety; grit; person-centered approach,OUT-OF-CLASS; POSITIVE PSYCHOLOGY; IN-CLASS; ENGLISH; VARIABLES; WILLINGNESS; COMMUNICATE; ENJOYMENT; AUTONOMY; ANXIETY,"Purpose This study (1) used a person-centered approach to identify specific subgroups of 1,265 EFL learners who participated in Informal Digital Learning of English (IDLE) activities, and (2) looked at how different IDLE profiles are related to important affective variables. Design/Methodology : To identify IDLE profiles, we used cluster analysis. Findings The L2 motivation, L2 enjoyment, L2 anxiety, and grit levels of the IDLErs with distinct profiles differed significantly. When compared to Profiles 1 (Minimal IDLErs: 33%), 2 (Gaming-Entertainment IDLErs: 16%), and 3 (Entertainment IDLErs: 30%), both Profile 4 (Maximal IDLErs: 11%) and Profile 5 (Entertainment-socializing IDLErs: 10%) demonstrated significantly higher scores on Ideal L2 self, L2 enjoyment-self, L2 enjoyment-others, L2 communication anxiety-offline, and Grit. Profiles 4 and 5 made full use of out-of-school digital environment, which provided several affective benefits for EFL learners. Originality/value Methodologically, the analytical and statistical approach could help to move informal language learning research one step closer to being more person-centered. In practice, the various IDLE profiles identified in this study may be of interest to EFL teachers in order to better understand their students' IDLE activities outside of school and to inform classroom teaching and learning.",2023
19,"Native language, L2 experience, and pitch processing in music",music advantage; tone language; L2; L2 proficiency,TRAINING JAPANESE LISTENERS; LONG-TERM RETENTION; R-VERTICAL-BAR; TONE PERCEPTION; 2ND-LANGUAGE; PROFICIENCY; IDENTIFICATION; BILINGUALS; PLASTICITY; SPEAKERS,"The current study investigated how the role of pitch in one's native language and L2 experience influenced musical melodic processing by testing Turkish and Mandarin Chinese advanced and beginning learners of English as an L2. Pitch has a lower functional load and shows a simpler pattern in Turkish than in Chinese as the former only contrasts between presence and the absence of pitch elevation, while the latter makes use of four different pitch contours lexically. Using the Musical Ear Test as the tool, we found that the Chinese listeners outperformed the Turkish listeners, and the advanced L2 learners outperformed the beginning learners. The Turkish listeners were further tested on their discrimination of bisyllabic Chinese lexical tones, and again an L2 advantage was observed. No significant difference was found for working memory between the beginning and advanced L2 learners. These results suggest that richness of tonal inventory of the native language is essential for triggering a music processing advantage, and on top of the tone language advantage, the L2 experience yields a further enhancement. Yet, unlike the tone language advantage that seems to relate to pitch expertise, learning an L2 seems to improve sound discrimination in general, and such improvement exhibits in non-native lexical tone discrimination.",2023
20,Motivational elements of digital instructional games: A study of young L2 learners' game designs,Task-based language teaching; young learners; motivation; computer games; digital games; task design,FANTASY,"This article focuses on the design of digital instructional game (DIG) tasks for young second language (L2) learners. The aim of the study is to identify motivational task elements based on what children respond to positively in games and incorporate into their own L2 vocabulary learning game designs. Eighty-two sixth-grade students (ages 11-12 years) in Japan were first asked to identify game elements by examining existing games and then to design games incorporating DIG tasks of their own and peer-evaluate them. Building on previous work (Butler, 2015), the study uses a mixed-methods approach to examine how both task-intrinsic characteristics and implementation conditions were realized in innovative and engaging DIG tasks by children. Although the study focuses on young learners, the findings might be applied to any type of task, including both digital and physical tasks for adults as well as for children. The article concludes with suggestions for how to design instructional materials which allow individualized learning and encourage autonomy in order to cater to the genuine interests of learners and to invoke intrinsic motivation for learning.",2017
21,The development and validation of an L2 student digital multimodal composing competence scale,,ENGLISH; VALIDITY; MULTILITERACIES; LITERACIES; ADOLESCENT; PEDAGOGY; MEDIA,"In this digital age, digital multimodal composing (DMC) has permeated the L2 classroom as a technology-enhanced L2 writing task. Despite the learning potential of DMC for L2 students, instruments that measure L2 students' DMC competence are rare. As such, the present study sought to develop and validate an L2 student DMC competence scale in the mainland Chinese context. Data were collected from 513 Chinese L2 students' self-reported data on the DMC competence scale. The construct validity of the scale was scrutinized by conducting exploratory factor analysis (EFA) and confirmatory factor analysis (CFA). EFA results supported a five-factor 20-item model of the scale, which comprises digital skills, creativity, genre awareness, language use, and cohesion of modes. CFA analysis and expert judgment yielded a four-factor 15-item model, entailing digital skills, genre awareness, language use, and cohesion of modes. This study clarifies the construct of L2 student DMC competence and provides researchers with a robust instrument for measuring this construct, and teachers with a tool for evaluating the effect of DMC intervention and guiding the formative assessment of DMC projects. Students could also use the scale as a self-assessment tool to raise their metacognitive awareness of DMC competence, which helps them autonomously develop this competence.",2023
22,DIGITAL GAME AND PLAY ACTIVITY IN L2 TEACHING AND LEARNING,Digital Games; Language Play; Second Language Learning; Game-Based Learning,LANGUAGE; SOCIALIZATION; CLASSROOM,"Games and play dynamics are proliferating in social, professional, and educational domains. This special issue brings together a collection of articles examining game and play activity in second language teaching and learning. Each addresses the topic from a unique perspective and represents game and play as part of complex ecologies of practice. The approaches include observation of out-of-school L2 gaming practices, adaptation of commercial, off-the-shelf games in the classroom, application of a game-based L2 learning environment, and the study of 'gamefur' learning through play in social networks. (C) Jonathon Reinhardt & Julie M. Sykes",2014
23,"L2 IDENTITY, DISCOURSE, AND SOCIAL NETWORKING IN RUSSIAN",L2 Identity; Social Networking; Computer-Mediated Communication; Virtual Environments; Discourse Analysis,,"As the integration of Internet-based social networking tools becomes increasingly popular in foreign language classrooms, the use of modern communication technologies is particularly critical in the context of less commonly taught languages (LCTLs), where student exposure to the target language and its speakers is usually minimal. This paper describes communicative exchanges between native speakers and non-native speakers (NS-NNS) in a telecollaborative project that spanned two semesters and brought a rich and authentic social networking community, VKontakte, into college-level Russian classes in the United States. The analysis of the students' online activities, phenomenological interviews, and interactions with Russian keypals grounded in the principles of identity construction through interaction (Bucholtz & Hall, 2005) and Discourse Analysis Framework (Gee, 2005) shed light on the students' emerging online second language (L2) identities along the continuum from L2 learners to L2 users. Along with global and local categories of L2 identity enactment in virtual social spaces, we bring into focus the notions of digital wisdom (Prensky, 2009) and investment (Norton, 2000), while exploring the ways in which learners of LCTLs, such as Russian, draw on Internet mediation in order to compensate for the lack of contact with the L2 and to extend social connections beyond the confines of a language classroom.",2013
24,Models as written corrective feedback: Effects on young L2 learners' fluency in digital writing from product and process perspectives,written corrective feedback; models; fluency; L2 writing; young learners,ACCURACY; COMPLEXITY,"This study was motivated by Truscott's (1996, 2004) scarcely empirically tested claims that written corrective feedback (WCF) processing hinders fluency in subse-quent rewriting owing to learners' purposeful avoidance of making mistakes by composing shorter texts at a higher speed. It examined the writing fluency of the texts produced by eighteen 10-11-year-old L2 English children in a digital environ-ment. They were divided into a feedback (N = 10) and a self-correction group (N = 8). Both groups engaged in a three-stage task: writing, comparison of their texts with a model or self-editing as appropriate, and rewriting. Fluency was analyzed via five product/offline and five process/online measures. The texts and writing behaviors were recorded with Inputlog 8.0. The results partially support Truscott's claims. The feedback group improved their fluency in all the ten measures. However, the self - editing group showed higher fluency than the feedback group in seven of the ten measures, with the corresponding Hedge's effect sizes between groups ranging from small to large. The study enlightens our knowledge of young learners' writing fluency and supports adopting a multidimensional approach to understand the complex and multi-faceted nature of fluency as mediated by WCF processing.",2022
25,Technology-mediated tasks for the development of L2 pragmatics,blogs; computer-mediated communication; games; L2 pragmatics; tasks; TBLT; technology; telecollaboration; virtual environments,SMALL TALK; LEARNERS; SAY; TELECOLLABORATION; COMMUNICATION; COMPETENCE; POLITENESS; AWARENESS,"Developing pragmatic competence implies the learning of the norms and principles that affect the behavior of participants in a culture (i.e. sociopragmatics) and the ability to choose the language to realize those norms (i.e. pragmalinguistics). Learning to be pragmatically appropriate in the second language (L2) is not easy, and although it is possible without instruction, research shows that instruction helps development (Plonsky & Zhuang, 2019). This article advocates that technology-mediated tasks are an excellent and effective pedagogic tool to promote L2 pragmatic development. The article will introduce some key findings of studies that incorporate technology and pragmatics as well as those that have investigated tasks and L2 pragmatics to then focus on those studies that incorporate the three elements: tasks, technology and L2 pragmatics. These studies are grouped by their main focus of investigation: (1) the task, (2) the technology, or (3) the L2 pragmatic feature. As a whole, these studies show the possibilities that tasks and technology-mediated contexts have to engage learners in discursive practices that may not be possible otherwise, exposing them to the cyberpragmatics of an ever-growing digital world. Finally, lines of new research to advance the field are suggested.",2022
26,Self-praise on social media WeChat Moments in L1 and L2 Chinese,Chinese; emoji; L2 pragmatics; self-praise; WeChat,PRAGMATIC DEVELOPMENT; COMPETENCE; POLITENESS; MODALITY,"To date, second language (L2) pragmatics research has predominantly focused on learners' oral communication, with digital communication being much less examined. In addition, although L2 pragmatics has mainly investigated speech acts, self-praise has not been examined from the L2 perspective. Therefore, this study investigates instances of self-praise posted by learners of Chinese on social networking sites. Data were collected from 20 advanced learners of Chinese who were asked to share instances of self-praise they posted on their WeChat Moments. Altogether, 61 learners' self-praise posts in L2 Chinese and 100 instances of self-praise from 20 Chinese native speakers were collected. The learners' Chinese self-praise was analyzed in terms of different pragmatic strategies and emoji uses, with comparisons against the native speakers' practices. Similarities and differences were analyzed between the two groups' self-praise strategies and their emoji use in self-praise posts. The findings showed that the advanced learners were able to employ the three major types of self-praise strategies in their self-praise posts on WeChat Moments. However, their repertoires of individual self-praise strategies and emojis were not as wide as those of native speakers. In addition, the learners showed divergences from the native speakers in terms of their preferred self-praise strategies and culture-relevant emojis.",2023
27,"Affective factors, virtual intercultural experiences, and L2 willingness to communicate in in-class, out-of-class, and digital settings",affective variables; virtual intercultural experience; willingness to communicate in a second language,FOREIGN-LANGUAGE; AFFECTIVE VARIABLES; ANXIETY SCALE; LEARNERS; ENGLISH; 2ND-LANGUAGE; PARTICIPATION; PERSONALITY; FRENCH; MODEL,"This quantitative study examines whether and to what extent affective factors (i.e. motivation, self-confidence, risk-taking, L2 speaking anxiety, and grit) and virtual intercultural experiences are linked to willingness to communicate in a second language (L2 WTC) in in-class, out-of-class, and digital settings. Participants included 176 Korean undergraduate and graduate students of English as a foreign language (EFL). After adjusting for demographic factors, hierarchical regression analyses revealed three major results: first, those with higher levels of L2 motivation and grit as well as a lower level of L2 speaking anxiety had higher L2 WTC inside the classroom. Second, students who majored in English and had higher levels of L2 self-confidence and risk-taking had higher L2 WTC outside the classroom. Third, individuals who were younger, had a higher level of L2 self-confidence and engaged more frequently in virtual intercultural experiences had higher L2 WTC in digital settings. Results suggest that demographic and affective variables as well as involvement in virtual intercultural activities play distinct roles in influencing EFL students' WTC in three different L2 communication contexts. Based on these findings, this study provides pedagogical suggestions for L2 practitioners.",2020
