Year,Category,QN,Passage
2020,Infer-Logic,Q39,"The fragmentation of television audiences during recent
decades, which has happened throughout the globe as new
channels have been launched everywhere, has caused advertisers
much concern. Advertisers look back nostalgically to the
years when a single spot transmission would be seen by the
majority of the population at one fell swoop. This made
the television advertising of mass consumer products relatively
straightforward not to say easy whereas today it is necessary
for advertisers to build up coverage of their target markets over
time, by advertising on a host of channels with separate
audiences. Still, it is arguable that advertisers worry rather too much
about this problem, as advertising in other media has
always been fragmented. Moreover, advertisers gain considerable
benefits from the price competition between the numerous
broadcasting stations. And television remains much the
fastest way to build up public awareness of a new brand or a new
campaign. Seldom does a new brand or new campaign
that solely uses other media, without using television, reach high
levels of public awareness very quickly. ["
2019,Infer-Logic,Q39,"A major challenge for map-makers is the depiction of hills and
valleys, slopes and flatlands collectively called the topography.
This can be done in various ways. One is to create an image of
sunlight and shadow so that wrinkles of the topography are
alternately lit and shaded, creating a visual representation of the
shape of the land. Another, technically more accurate
way is to draw contour lines. A contour line connects all
points that lie at the same elevation. A round hill rising above a plain, therefore, would appear
on the map as a set of concentric circles, the largest at the
base and the smallest near the top. When the contour
lines are positioned closely together, the hill_s slope is steep; if
they lie farther apart, the slope is gentler. Contour lines
can represent scarps, hollows, and valleys of the local
topography. At a glance, they reveal whether the relief in
the mapped area is great or small: a busy contour map means
lots of high relief. ["
2018,Infer-Logic,Q39,"An incident in Japan in the 1950s alerted the world to the
potential problems of organic mercury in fish. Factories were
discharging mercury into the waters of Minamata Bay, which
also harbored a commercial fishing industry. Mercury was being
bioaccumulated in the fish tissue and severe mercury poisoning
occurred in many people who consumed the fish. The
disabling neurological symptoms were subsequently called
Minamata disease. Control over direct discharge of
mercury from industrial operations is clearly needed for
prevention. However, it is now recognized that traces of
mercury can appear in lakes far removed from any such
industrial discharge. It is postulated that such contamination may result from
airborne transport from remote power plants or municipal
incinerators. Strictly controlled emission standards
for such sources are needed to minimize this problem.
Fish advisories have been issued for many lakes in the United
States; these recommend limits on the number of times per
month particular species of fish should be consumed."
2017,Infer-Logic,Q39,"I expect that global society will increase annual investments
from 24% today to 36% of the GDP in 2052. Much of this
investment will be in energy-efficient goods that are more
expensive than old-fashioned stuff designed for an era of
cheap energy. Another share will be invested in the shift
from coal to more expensive fuels, like conventional gas. 
Some will go into the construction of new renewable energy
supply, even during the years before it becomes competitive.
 And a lot will go into repair of climate damage or
adaptation to future climate damage  for example, investing
in new protective walls along the coast to keep the rising
ocean back. These huge increases in investment would
not come about if investment was left to the market. Rather, they will happen only through state intervention,
based on parliamentary decision. It
will be either direct, when the government invests the tax
dollars in whatever capacity it considers to be most necessary,
or indirect, when the government passes legislation that makes
the desired activity more profitable."
2016,Infer-Logic,Q39,"Food intake is essential for the survival of every living
organism. The failure to detect spoiled or toxic food can
have deadly consequences. Therefore, it is not surprising that
humans use all their five senses to analyze food quality. A
first judgment about the value of a food source is made on
its appearance and smell. Food that looks and smells
attractive is taken into the mouth. Here, based on a complex
sensory analysis that is not only restricted to the sense of taste
but also includes smell, touch, and hearing, the final decision
whether to swallow or reject food is made. Frequently,
this complex interaction between different senses is
inappropriately referred to as taste although it should be
better called flavor perception, because it uses multiple
senses."
2015,Infer-Logic,Q39,"Some years ago, a psychologist named Richard Lippa called
a group of introverts to his lab and asked them to act like
extroverts while pretending to teach a math class. Then
he and his team, with video cameras in hand, measured the
length of their strides, the amount of eye contact they made
with their students, the percentage of time they spent
talking, and the volume of their speech. They also rated how generally extroverted those fake
extroverts appeared, based on their recorded voices and
body language. Then Lippa
did the same thing with actual extroverts and compared the
results. He found that although the latter group came
across as more extroverted, some of the fake extroverts were
surprisingly convincing. It seems that most of us
know how to fake it to some extent. Whether or not
we are aware that the length of our strides and the amount of
time we spend talking and smiling mark us as introverts and
extroverts, we know it unconsciously. ["
2022,Infer-Logic,Q38,"Retraining current employees for new positions within the
company will also greatly reduce their fear of being laid
off. Introduction of robots into factories, while employment of human
workers is being reduced, creates worry and fear. It is
the responsibility of management to prevent or, at least, to ease
these fears. For example, robots could be introduced only
in new plants rather than replacing humans in existing assembly
lines. Workers should be included in the planning for
new factories or the introduction of robots into existing plants,
so they can participate in the process. It may be that robots
are needed to reduce manufacturing costs so that the company
remains competitive, but planning for such cost reductions
should be done jointly by labor and management. Since
robots are particularly good at highly repetitive simple motions,
the replaced human workers should be moved to positions
where judgment and decisions beyond the abilities of robots
are required."
2021,Infer-Logic,Q38,"Imagine I tell you that Maddy is bad. Perhaps you infer from
my intonation, or the context in which we are talking, that I
mean morally bad. Additionally, you will probably infer that I
am disapproving of Maddy, or saying that I think you should
disapprove of her, or similar, given typical linguistic conventions
and assuming I am sincere. However, you might not
get a more detailed sense of the particular sorts of way in
which Maddy is bad, her typical character traits, and the like,
since people can be bad in many ways. In contrast, if I
say that Maddy is wicked, then you get more of a sense of her
typical actions and attitudes to others. The word wicked
is more specific than bad. I have still not exactly pinpointed Maddy_s character since
wickedness takes many forms. But there is more detail
nevertheless, perhaps a stronger connotation of the sort of
person Maddy is. In addition, and again assuming
typical linguistic conventions, you should also get a sense that
I am disapproving of Maddy, or saying that you should
disapprove of her, or similar, assuming that we are still
discussing her moral character."
2020,Infer-Logic,Q38,"Resident-bird habitat selection is seemingly a straightforward
process in which a young dispersing individual moves until it
finds a place where it can compete successfully to satisfy its
needs. Initially, these needs include only food and
shelter. However, eventually, the young must locate,
identify, and settle in a habitat that satisfies not only survivorship
but reproductive needs as well. In some cases, the
habitat that provides the best opportunity for survival may not be
the same habitat as the one that provides for highest reproductive
capacity because of requirements specific to the reproductive
period. Thus, individuals of many resident species, confronted with
the fitness benefits of control over a productive breeding
site, may be forced to balance costs in the form of lower
nonbreeding survivorship by remaining in the specific
habitat where highest breeding success occurs. Migrants, however, are free to choose the
optimal habitat for survival during the nonbreeding season and
for reproduction during the breeding season. Thus,
habitat selection during these different periods can be quite
different for migrants as opposed to residents, even among
closely related species."
2019,Infer-Logic,Q38,"The printing press boosted the power of ideas to copy
themselves. Prior to low-cost printing, ideas could and did
spread by word of mouth. While this was tremendously
powerful, it limited the complexity of the ideas that could be
propagated to those that a single person could remember. 
It also added a certain amount of guaranteed error. The
spread of ideas by word of mouth was equivalent to a game of
telephone on a global scale. The advent of literacy and the creation of handwritten
scrolls and, eventually, handwritten books strengthened the
ability of large and complex ideas to spread with high
fidelity. But the incredible amount
of time required to copy a scroll or book by hand limited the
speed with which information could spread this way. A
well-trained monk could transcribe around four pages of text
per day. A printing press could copy information
thousands of times faster, allowing knowledge to spread far
more quickly, with full fidelity, than ever before."
2018,Infer-Logic,Q38,"Both humans and rats have evolved taste preferences for
sweet foods, which provide rich sources of calories. A study
of food preferences among the Hadza hunter-gatherers of
Tanzania found that honey was the most highly preferred food
item, an item that has the highest caloric value.) Human
newborn infants also show a strong preference for sweet
liquids. Both humans and rats dislike bitter and sour
foods, which tend to contain toxins. They also
adaptively adjust their eating behavior in response to deficits
in water, calories, and salt. Experiments show that rats display an immediate liking
for salt the first time they experience a salt deficiency. They likewise increase
their intake of sweets and water when their energy and fluids
become depleted. These appear to be specific evolved
mechanisms, designed to deal with the adaptive problem of
food selection, and coordinate consumption patterns with
physical needs."
2017,Infer-Logic,Q38,"What is the best order for a report, paper or other technical
document? Of course, it must be logical; but that means
simply that the paper must have connection and sequence,
and a variety of orders is possible under this heading. Too
many writers interpret the term logical to mean chronological,
and it has become habitual to begin reports and papers with
careful reviews of previous work. Usually, this is
tactically weak. Most readers of reports and papers are reading the
documents because they are interested in, and know
something about, the subject. Therefore, to rehearse to them the
findings of previous work is simply to bore them with
unnecessary reminders. The interesting thing for them
is the new information the new findings and conclusions. So it is usually best to start with those pieces of
information. To give a long chronological account of
work or procedures is normally appropriate only when the
essential point of the paper is the chronological sequence."
2016,Infer-Logic,Q38,"Money beyond the bare minimum necessary for food and
shelter is nothing more than a means to an end. Yet so
often we confuse means with ends, and sacrifice happiness
(end) for money (means). It is easy to do this when material
wealth is elevated to the position of the ultimate end, as it so
often is in our society. This is not to say that the
accumulation and production of material wealth is in itself
wrong. Material prosperity can help individuals, as well
as society, attain higher levels of happiness. Financial security can liberate us from work we do not find meaningful
and from having to worry about the next paycheck.
Moreover, the desire to make money can challenge and inspire
us. Even so, it is not the money per se that is valuable, but the
fact that it can potentially yield more positive experiences. Material wealth in and of itself does not necessarily
generate meaning or lead to emotional wealth."
2015,Infer-Logic,Q38,"Exactly how cicadas keep track of time has always intrigued
researchers, and it has always been assumed that the insects
must rely on an internal clock. Recently, however, one group
of scientists working with the 17-year cicada in California
have suggested that the nymphs use an external cue and that
they can count. For their experiments they took
15-year-old nymphs and moved them to an experimental
enclosure. These nymphs should have taken a further
two years to emerge as adults, but in fact they took just one
year. The researchers had made this happen by lengthening the
period of daylight to which the peach trees on whose roots
the insects fed were exposed. By doing this, the trees were tricked into
flowering twice during the year rather than the usual once.
 Flowering in trees coincides with a peak in amino acid
concentrations in the sap that the insects feed on. So it
seems that the cicadas keep track of time by counting the
peaks."
2022,Infer-Logic,Q37,"In spite of the likeness between the fictional and real
world, the fictional world deviates from the real one in one
important respect. The author has selected the content according to his own
worldview and his own conception of relevance, in an
attempt to be neutral and objective or convey a subjective
view on the world. Whatever the motives, the author_s
subjective conception of the world stands between the
reader and the original, untouched world on which the
story is based.
 Because of the inner qualities with which the individual is
endowed through heritage and environment, the mind
functions as a filter; every outside impression that passes
through it is filtered and interpreted. However, the world
the reader encounters in literature is already processed
and filtered by another consciousness.
 The existing world faced by the individual is in principle
an infinite chaos of events and details before it is organized
by a human mind. This chaos only gets processed and
modified when perceived by a human mind."
2021,Infer-Logic,Q37,"Experts have identified a large number of measures that
promote energy efficiency. Unfortunately many of them are
not cost effective. This is a fundamental requirement for
energy efficiency investment from an economic perspective. And this has direct repercussions at the individual level:
households can reduce the cost of electricity and gas bills,
and improve their health and comfort, while companies
can increase their competitiveness and their productivity.
Finally, the market for energy efficiency could contribute
to the economy through job and firms creation.
 There are significant externalities to take into account and
there are also macroeconomic effects. For instance, at the
aggregate level, improving the level of national energy
efficiency has positive effects on macroeconomic issues
such as energy dependence, climate change, health, national
competitiveness and reducing fuel poverty.
 However, the calculation of such cost effectiveness is not
easy: it is not simply a case of looking at private costs and
comparing them to the reductions achieved."
2020,Infer-Logic,Q37,"Traditionally, Kuhn claims, the primary goal of historians
of science was to clarify and deepen an understanding of
contemporary scientific methods or concepts by displaying
their evolution. This entailed relating the progressive accumulation of
breakthroughs and discoveries. Only that which survived in
some form in the present was considered relevant. In the
mid-1950s, however, a number of faults in this view of history
became apparent. Closer analysis of scientific discoveries,
for instance, led historians to ask whether the dates of
discoveries and their discoverers can be identified precisely. Some discoveries seem to entail numerous phases and
discoverers, none of which can be identified as definitive.
Furthermore, the evaluation of past discoveries and
discoverers according to present-day standards does not
allow us to see how significant they may have been in
their own day. Nor does the traditional view recognise the role that
non-intellectual factors, especially institutional and
socio-economic ones, play in scientific developments. Most
importantly, however, the traditional historian of science
seems blind to the fact that the concepts, questions and
standards that they use to frame the past are themselves
subject to historical change."
2019,Infer-Logic,Q37,"Clearly, schematic knowledge helps you guiding your
understanding and enabling you to reconstruct things you
cannot remember. But schematic knowledge can also hurt you, promoting
errors in perception and memory. Moreover, the types of
errors produced by schemata are quite predictable: Bear in
mind that schemata summarize the broad pattern of your
experience, and so they tell you, in essence, what is typical
or ordinary in a given situation. Any reliance on schematic knowledge, therefore, will be
shaped by this information about what is normal. Thus,
if there are things you do not notice while viewing a
situation or event, your schemata will lead you to fill in
these gaps with knowledge about what is normally in
place in that setting. Likewise, if there are things you ca not recall, your
schemata will fill in the gaps with knowledge about
what is typical in that situation. As a result, a reliance on
schemata will inevitably make the world seem more normal than it really is and will make the past seem
more regular than it actually was."
2018,Infer-Logic,Q37,"To modern man disease is a biological phenomenon that
concerns him only as an individual and has no moral
implications. When he contracts influenza, he never
attributes this event to his behavior toward the tax
collector or his mother-in-law. Among primitives, because of their supernaturalistic
theories, the prevailing moral point of view gives a
deeper meaning to disease. The gods who send disease
are usually angered by the moral offences of the
individual. Sometimes they may not strike the guilty person himself,
but rather one of his relatives or tribesmen, to whom
responsibility is extended. Disease, action that might
produce disease, and recovery from disease are,
therefore, of vital concern to the whole primitive
community. Disease, as a sanction against social misbehavior,
becomes one of the most important pillars of order in
such societies. It takes over, in many cases, the role
played by policemen, judges, and priests in modern
society."
2017,Infer-Logic,Q37,"Evolution works to maximize the number of descendants
that an animal leaves behind. Where the risk of death from
fishing increases as an animal grows, evolution favors
those that grow slowly, mature younger and smaller, and
reproduce earlier. This is exactly what we now see in the wild. Cod in
Canada_s Gulf of St. Lawrence begin to reproduce at
around four today; forty years ago they had to wait until
six or seven to reach maturity. Sole in the North Sea
mature at half the body weight they did in 1950. Surely these adaptations are good news for species
hard-pressed by excessive fishing? Not exactly. Young
fish produce many fewer eggs than large-bodied animals,
and many industrial fisheries are now so intensive that
few animals survive more than a couple of years beyond
the age of maturity. Together this means there are fewer eggs and larvae to
secure future generations. In some cases the amount of
young produced today is a hundred or even a thousand
times less than in the past, putting the survival of species,
and the fisheries dependent on them, at grave risk."
2016,Infer-Logic,Q37,"Remember when you were little and you imagined that
adults had infinite power? Surely someone who could drive
the car, open the juice container, and reach the sink could
make it stop raining. I think that is the same expectation
that we have with respect to our dogs and their ability to
smell. Because they are so good at using their noses,
we assume that they can smell anything, anytime. But
dogs use other senses, too, and the brains of both humans
and dogs tend to intensify one sense at a time. Many
owners have been snapped at by their dogs when they
returned home with a new hairdo or a new coat. Surprised by the vision of an unfamiliar silhouette pushing
into the house, these dogs were using their eyes instead of
their noses. Their
noses may be remarkable, but they are not always switched on."
2015,Infer-Logic,Q37,"Food plays a large part in how much you enjoy the
outdoors. The possibilities are endless, so you can
constantly vary your diet. Wilderness dining has two extremes: gourmet eaters and
survival eaters. The first like to make camp at lunchtime
so they have several hours to set up field ovens; they bake
cakes and bread and cook multi-course dinners. They walk only a few miles each day and may use the
same campsite for several nights. Survival eaters eat
some dry cereal for breakfast, and are up and walking
within minutes of waking. They walk dozens of miles every day; lunch is a series of
cold snacks eaten on the move. Dinner consists of a
freeze-dried meal, cooked by pouring hot water into the
package."
2022,Infer-Logic,Q36,"According to the market response model, it is increasing
prices that drive providers to search for new sources,
innovators to substitute, consumers to conserve, and
alternatives to emerge. Many examples of such green taxes exist. Facing landfill
costs, labor expenses, and related costs in the provision of
garbage disposal, for example, some cities have required
households to dispose of all waste in special trash bags,
purchased by consumers themselves, and often costing a
dollar or more each.
 Taxing certain goods or services, and so increasing prices,
should result in either decreased use of these resources or
creative innovation of new sources or options. The money
raised through the tax can be used directly by the government
either to supply services or to search for alternatives.
 The results have been greatly increased recycling and more
careful attention by consumers to packaging and waste.
By internalizing the costs of trash to consumers, there has
been an observed decrease in the flow of garbage from
households."
2021,Infer-Logic,Q36,"The objective of battle, to throw the enemy and to
make him defenseless, may temporarily blind commanders
and even strategists to the larger purpose of war. War is
never an isolated act, nor is it ever only one decision. To be political, a political entity or a representative of a
political entity, whatever its constitutional form, has to
have an intention, a will. That intention has to be clearly
expressed.
 In the real world, war_s larger purpose is always a political
purpose. It transcends the use of force. This insight was
famously captured by Clausewitz_s most famous phrase, War is a mere continuation of politics by other means. And one side_s will has to be transmitted to the enemy at
some point during the confrontation (it does not have to be
publicly communicated). A violent act and its larger political
intention must also be attributed to one side at some point
during the confrontation. History does not know of acts of
war without eventual attribution."
2020,Infer-Logic,Q36,"Movies may be said to support the dominant culture and
to serve as a means for its reproduction over time. But one may ask why audiences would find such movies
enjoyable if all they do is give cultural directives and
prescriptions for proper living. Most of us would likely
grow tired of such didactic movies and would probably
come to see them as propaganda, similar to the cultural
artwork that was common in the Soviet Union and other
autocratic societies. The simple answer to this question is that movies do more
than present two-hour civics lessons or editorials on
responsible behavior. They also tell stories that, in the
end, we find satisfying. The bad guys are usually punished; the romantic couple
almost always find each other despite the obstacles and
difficulties they encounter on the path to true love; and
the way we wish the world to be is how, in the movies, it
more often than not winds up being. No doubt it is this
utopian aspect of movies that accounts for why we enjoy
them so much."
2019,Infer-Logic,Q36,"Researchers in psychology follow the scientific method
to perform studies that help explain and may predict human
behavior. This is a much more challenging task than studying
snails or sound waves. It often requires compromises, such as testing behavior
within laboratories rather than natural settings, and asking
those readily available (such as introduction to psychology
students) to participate rather than collecting data from a
true cross-section of the population. It often requires great
cleverness to conceive of measures that tap into what
people are thinking without altering their thinking, called
reactivity. Simply knowing they are being observed may cause
people to behave differently (such as more politely!).
People may give answers that they feel are more socially
desirable than their true feelings. But for all of these difficulties for psychology, the payoff
of the scientific method is that the findings are replicable;
that is, if you run the same study again following the
same procedures, you will be very likely to get the same
results."
2018,Infer-Logic,Q36,"Most consumer magazines depend on subscriptions and
advertising. Subscriptions account for almost 90 percent
of total magazine circulation. Single-copy, or newsstand,
sales account for the rest. However, single-copy sales are important: they bring in
more revenue per magazine, because subscription prices
are typically at least 50 percent less than the price of
buying single issues. Further, potential readers explore a new magazine by
buying a single issue; all those insert cards with
subscription offers are included in magazines to
encourage you to subscribe. Some magazines are
distributed only by subscription. Professional or trade
magazines are specialized magazines and are often
published by professional associations. They usually
feature highly targeted advertising. For example, the Columbia Journalism Review is
marketed toward professional journalists and its few
advertisements are news organizations, book publishers,
and others. A few magazines, like Consumer Reports,
work toward objectivity and therefore contain no
advertising."
2017,Infer-Logic,Q36,"Interestingly, being observed has two quite distinct
effects on performance. In some cases, performance is
decreased, even to the point of non-existence. The
extreme of this is stage fright, the sudden fear of public
performance. There are many instances of well-known actors who, in
mid-career, develop stage fright and simply cannot
perform. The other extreme is that being observed
enhances performance, people doing whatever it might
be better when they know that others are watching. The general rule seems to be that if one is doing
something new or for the first time, then being observed
while doing it decreases performance. On the other hand,
being observed while doing some task or engaging in
some activity that is well known or well practiced tends
to enhance performance. So, if you are learning to play a new sport, it is better to
begin it alone, but when you become skilled at it, then
you will probably perform better with an audience."
2016,Infer-Logic,Q36,"Sometimes, after punishment has been administered a
few times, it need not be continued, because the mere threat
of punishment is enough to induce the desired behavior. Psychologists call this avoidance training because the
person is learning to avoid the possibility of a punishing
consequence. Avoidance training is responsible for many
everyday behaviors. It has taught you to carry an
umbrella when it looks like rain to avoid the punishment
of getting wet, and to keep your hand away from a hot
iron to avoid the punishment of a burn. Avoidance training, however, does not always work in our
favor. For instance, a child who has been repeatedly
criticized for poor performance on math may learn to
dodge difficult math problems in order to avoid further
punishment. Unfortunately, because of this avoidance, the child fails
to develop his math skills and therefore improve the
capabilities he has, and so a vicious cycle has set in.
The avoidance must be unlearned through some positive
experiences with math in order for this cycle to be broken."
2015,Infer-Logic,Q36,"The impact of color has been studied for decades. For
example, in a factory, the temperature was maintained at
72 and the walls were painted a cool blue-green. The
employees complained of the cold. The temperature was maintained at the same level, but the
walls were painted a warm coral. The employees stopped
complaining about the temperature and reported they
were quite comfortable. The psychological effects of warm and cool hues seem to
be used effectively by the coaches of the Notre Dame
football team. The locker rooms used for half-time breaks
were reportedly painted to take advantage of the
emotional impact of certain hues. The home-team room was painted a bright red, which
kept team members excited or even angered. The
visiting-team room was painted a blue-green, which had a
calming effect on the team members. The success of this
application of color can be noted in the records set by
Notre Dame football teams."
2022,Infer-Logic,Q35,"Since their introduction, information systems have
substantially changed the way business is conducted. This is
particularly true for business in the shape and form of
cooperation between firms that involves an integration of value
chains across multiple units. The resulting networks do not
only cover the business units of a single firm but typically also
include multiple units from different firms. As a consequence,
firms do not only need to consider their internal organization
in order to ensure sustainable business performance; they also
need to take into account the entire ecosystem of units
surrounding them. In order to allow these
different units to cooperate successfully, the existence of a
common platform is crucial."
2021,Infer-Logic,Q35,"Workers are united by laughing at shared events, even ones
that may initially spark anger or conflict. Humor reframes
potentially divisive events into merely laughable ones which
are put in perspective as subservient to unifying values held
by organization members. Repeatedly recounting humorous
incidents reinforces unity based on key organizational values. One team told repeated stories about a dumpster fire,
something that does not seem funny on its face, but the
reactions of workers motivated to preserve safety sparked
laughter as the stories were shared multiple times by multiple
parties in the workplace. Shared events that cause laughter
can indicate a sense of belonging since you had to be there to see the humor in them, and non-members were not and do
not. Instances of humor serve to enact bonds
among organization members. Understanding the humor may
even be required as an informal badge of membership in the
organization."
2020,Infer-Logic,Q35,"Although commonsense knowledge may have merit, it also
has weaknesses, not the least of which is that it often contradicts
itself. For example, we hear that people who are similar will like
one another (Birds of a feather flock together) but also that
persons who are dissimilar will like each other (Opposites
attract). We are told that groups are wiser and smarter than
individuals (Two heads are better than one) but also that group
work inevitably produces poor results (Too many cooks spoil
the broth).  Each of these contradictory statements may hold
true under particular conditions, but without a clear statement of
when they apply and when they do not, aphorisms provide little
insight into relations among people. They provide
even less guidance in situations where we must make decisions. For example, when facing a choice that entails risk, which
guideline should we use Nothing ventured, nothing gained
or Better safe than sorry?"
2019,Infer-Logic,Q35,"When photography came along in the nineteenth century,
painting was put in crisis. The photograph, it seemed, did
the work of imitating nature better than the painter ever could. Some painters made practical use of the invention. There
were Impressionist painters who used a photograph in place of
the model or landscape they were painting. But by and
large, the photograph was a challenge to painting and was one
cause of painting_s moving away from direct representation
and reproduction to the abstract painting of the twentieth
century. Since photographs did such a good job of
representing things as they existed in the world, painters were
freed to look inward and represent things as they were in their
imagination, rendering emotion in the color, volume, line, and
spatial configurations native to the painter_s art."
